theme,title,legal_status,page_url,pdf_path,status
Trabalho,"Decreto-Lei n.º 120/2015 - Diário da República n.º 125/2015, Série I de 2015-06-30",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2015-75652178,data\raw_pdfs\trabalho\18_decreto-lei_n.º_1202015_-_diário_da_república_n.º_1252015_série_i_de_2015-06-30.pdf,downloaded
Trabalho,"Portaria n.º 183/2015 - Diário da República n.º 119/2015, Série I de 2015-06-22",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2015-107549837,data\raw_pdfs\trabalho\19_portaria_n.º_1832015_-_diário_da_república_n.º_1192015_série_i_de_2015-06-22.pdf,downloaded
Trabalho,"Lei n.º 80/2013 - Diário da República n.º 231/2013, Série I de 2013-11-28",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2013-73804980,,skipped_not_in_force
Trabalho,"Lei n.º 70/2013 - Diário da República n.º 167/2013, Série I de 2013-08-30",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2013-70381999,data\raw_pdfs\trabalho\21_lei_n.º_702013_-_diário_da_república_n.º_1672013_série_i_de_2013-08-30.pdf,downloaded
Trabalho,"Portaria n.º 349-D/2013 - Diário da República n.º 233/2013, 2º Suplemento, Série I de 2013-12-02",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2013-73443697,,skipped_not_in_force
Trabalho,"Portaria n.º 113/2012 - Diário da República n.º 83/2012, Série I de 2012-04-27",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2012-120944167,,skipped_not_in_force
Trabalho,"Portaria n.º 135/2012 - Diário da República n.º 89/2012, Série I de 2012-05-08",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2012-74661205,data\raw_pdfs\trabalho\24_portaria_n.º_1352012_-_diário_da_república_n.º_892012_série_i_de_2012-05-08.pdf,downloaded
Trabalho,"Portaria n.º 319/2012 - Diário da República n.º 198/2012, Série I de 2012-10-12",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2012-67626870,data\raw_pdfs\trabalho\25_portaria_n.º_3192012_-_diário_da_república_n.º_1982012_série_i_de_2012-10-12.pdf,downloaded
Trabalho,"Portaria n.º 275/2010 - Diário da República n.º 97/2010, Série I de 2010-05-19",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2010-67664899,data\raw_pdfs\trabalho\26_portaria_n.º_2752010_-_diário_da_república_n.º_972010_série_i_de_2010-05-19.pdf,downloaded
Trabalho,"Decreto-Lei n.º 91/2009 - Diário da República n.º 70/2009, Série I de 2009-04-09",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-70157403,data\raw_pdfs\trabalho\27_decreto-lei_n.º_912009_-_diário_da_república_n.º_702009_série_i_de_2009-04-09.pdf,downloaded
Trabalho,"Decreto-Lei n.º 259/2009 - Diário da República n.º 187/2009, Série I de 2009-09-25",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-56720782,data\raw_pdfs\trabalho\28_decreto-lei_n.º_2592009_-_diário_da_república_n.º_1872009_série_i_de_2009-09-25.pdf,downloaded
Trabalho,"Decreto-Lei n.º 290/2009 - Diário da República n.º 197/2009, Série I de 2009-10-12",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-65884851,data\raw_pdfs\trabalho\29_decreto-lei_n.º_2902009_-_diário_da_república_n.º_1972009_série_i_de_2009-10-12.pdf,downloaded
Trabalho,"Portaria n.º 128/2009 - Diário da República n.º 21/2009, Série I de 2009-01-30",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-61616703,,skipped_not_in_force
Trabalho,"Lei n.º 107/2009 - Diário da República n.º 178/2009, Série I de 2009-09-14",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-62059578,data\raw_pdfs\trabalho\31_lei_n.º_1072009_-_diário_da_república_n.º_1782009_série_i_de_2009-09-14.pdf,downloaded
Trabalho,"Portaria n.º 985/2009 - Diário da República n.º 172/2009, Série I de 2009-09-04",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-34513675,data\raw_pdfs\trabalho\32_portaria_n.º_9852009_-_diário_da_república_n.º_1722009_série_i_de_2009-09-04.pdf,downloaded
Trabalho,"Decreto-Lei n.º 260/2009 - Diário da República n.º 187/2009, Série I de 2009-09-25",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-63511624,data\raw_pdfs\trabalho\33_decreto-lei_n.º_2602009_-_diário_da_república_n.º_1872009_série_i_de_2009-09-25.pdf,downloaded
Trabalho,"Lei n.º 105/2009 - Diário da República n.º 178/2009, Série I de 2009-09-14",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-34514275,data\raw_pdfs\trabalho\34_lei_n.º_1052009_-_diário_da_república_n.º_1782009_série_i_de_2009-09-14.pdf,downloaded
